year,     event,     actor,     movie,     role,     won
1988,     (61st) best actor,     Gene Hackman,     Mississippi Burning,     Agent Rupert Anderson,     False
1988,     (61st) best actor,     Tom Hanks,     Big,     Josh Baskin,     False
1988,     (61st) best actor,     Edward James Olmos,     Stand and Deliver,     Jaime Escalante,     False
1988,     (61st) best actor,     Max von Sydow,     Pelle the Conqueror,     Lassefar,     False
1946,     (19th) best actor,     Fredric March,     The Best Years of Our Lives,     Al Stephenson,     True
1946,     (19th) best actor,     Laurence Olivier,     Henry V,     King Henry V of England,     False
1946,     (19th) best actor,     Larry Parks,     The Jolson Story,     Al Jolson,     False
1946,     (19th) best actor,     Gregory Peck,     The Yearling,     Ezra "Penny" Baxter,     False
1946,     (19th) best actor,     James Stewart,     It's a Wonderful Life,     George Bailey,     False
1993,     (66th) best actor,     Tom Hanks,     Philadelphia,     Andrew Beckett,     True
1993,     (66th) best actor,     Daniel Day-Lewis,     In the Name of the Father,     Gerry Conlon,     False
1993,     (66th) best actor,     Laurence Fishburne,     What's Love Got to Do with It,     Ike Turner,     False
1993,     (66th) best actor,     Anthony Hopkins,     The Remains of the Day,     James Stevens,     False
1993,     (66th) best actor,     Liam Neeson,     Schindler's List,     Oskar Schindler,     False
2004,     (77th) best actor,     Jamie Foxx,     Ray,     Ray Charles,     True
2004,     (77th) best actor,     Don Cheadle,     Hotel Rwanda,     Paul Rusesabagina,     False
2004,     (77th) best actor,     Johnny Depp,     Finding Neverland,     J. M. Barrie,     False
2004,     (77th) best actor,     Leonardo DiCaprio,     The Aviator,     Howard Hughes,     False
2004,     (77th) best actor,     Clint Eastwood,     Million Dollar Baby,     Frankie Dunn,     False
2002,     (75th) best actor,     Adrien Brody,     The Pianist,     Władysław Szpilman,     True
2002,     (75th) best actor,     Nicolas Cage,     Adaptation,     Charlie Kaufman,     False
2002,     (75th) best actor,     Michael Caine,     The Quiet American,     Thomas Fowler,     False
2002,     (75th) best actor,     Daniel Day-Lewis,     Gangs of New York,     William "Bill the Butcher" Cutting,     False
2002,     (75th) best actor,     Jack Nicholson,     About Schmidt,     Warren R. Schmidt,     False
1976,     (49th) best actor,     Peter Finch,     Network,     Howard Beale,     True
1976,     (49th) best actor,     Robert De Niro,     Taxi Driver,     Travis Bickle,     False
1976,     (49th) best actor,     Giancarlo Giannini,     Seven Beauties,     Pasqualino Frafuso,     False
1976,     (49th) best actor,     William Holden,     Network,     Max Schumacher,     False
1976,     (49th) best actor,     Sylvester Stallone,     Rocky,     Rocky Balboa,     False
1961,     (34th) best actor,     Maximilian Schell,     Judgment at Nuremberg,     Hans Rolfe,     True
1961,     (34th) best actor,     Charles Boyer,     Fanny,     Cesar,     False
1961,     (34th) best actor,     Paul Newman,     The Hustler,     Eddie Felson,     False
1961,     (34th) best actor,     Spencer Tracy,     Judgment at Nuremberg,     Chief Judge Dan Haywood,     False
1961,     (34th) best actor,     Stuart Whitman,     The Mark,     Jim Fuller,     False
1998,     (71st) best actor,     Roberto Benigni,     Life Is Beautiful,     Guido Orefice,     True
1998,     (71st) best actor,     Tom Hanks,     Saving Private Ryan,     Captain John Miller,     False
1998,     (71st) best actor,     Ian McKellen,     Gods and Monsters,     James Whale,     False
1998,     (71st) best actor,     Nick Nolte,     Affliction,     Wade Whitehouse,     False
1998,     (71st) best actor,     Edward Norton,     American History X,     Derek Vinyard,     False
1945,     (18th) best actor,     Ray Milland,     The Lost Weekend,     Don Birnam,     True
1945,     (18th) best actor,     Bing Crosby,     The Bells of St. Mary's,     Father Chuck O'Malley,     False
1945,     (18th) best actor,     Gene Kelly,     Anchors Aweigh,     Joseph Brady,     False
1945,     (18th) best actor,     Gregory Peck,     The Keys of the Kingdom,     Father Francis,     False
1945,     (18th) best actor,     Cornel Wilde,     A Song to Remember,     Frédéric Chopin,     False
1963,     (36th) best actor,     Sidney Poitier,     Lilies of the Field,     Homer Smith,     True
1963,     (36th) best actor,     Albert Finney,     Tom Jones,     Tom Jones,     False
1963,     (36th) best actor,     Richard Harris,     This Sporting Life,     Frank Machin,     False
1963,     (36th) best actor,     Rex Harrison,     Cleopatra,     Julius Caesar,     False
1963,     (36th) best actor,     Paul Newman,     Hud,     Hud Bannon,     False
1959,     (32nd) best actor,     Charlton Heston,     Ben-Hur,     Judah Ben-Hur,     True
1959,     (32nd) best actor,     Laurence Harvey,     Room at the Top,     Joe Lampton,     False
1959,     (32nd) best actor,     Jack Lemmon,     Some Like It Hot,     Jerry / Daphne,     False
1959,     (32nd) best actor,     Paul Muni,     The Last Angry Man,     Dr. Sam Abelman,     False
1959,     (32nd) best actor,     James Stewart,     Anatomy of a Murder,     Paul Biegler,     False
1952,     (25th) best actor,     Gary Cooper,     High Noon,     Marshal Will Kane,     True
1952,     (25th) best actor,     Marlon Brando,     Viva Zapata!,     Emiliano Zapata,     False
1952,     (25th) best actor,     Kirk Douglas,     The Bad and the Beautiful,     Jonathan Shields,     False
1952,     (25th) best actor,     José Ferrer,     Moulin Rouge,     Henri de Toulouse-Lautrec,     False
1952,     (25th) best actor,     Alec Guinness,     The Lavender Hill Mob,     Holland,     False
1969,     (42nd) best actor,     John Wayne,     True Grit,     Reuben "Rooster" Cogburn,     True
1969,     (42nd) best actor,     Richard Burton,     Anne of the Thousand Days,     King Henry VIII of England,     False
1969,     (42nd) best actor,     Dustin Hoffman,     Midnight Cowboy,     Enrico Salvatore "Ratso" "Rico" Rizzo,     False
1969,     (42nd) best actor,     Peter O'Toole,     Goodbye, Mr. Chips,     Arthur Chipping,     False
1969,     (42nd) best actor,     Jon Voight,     Midnight Cowboy,     Joe Buck,     False
1962,     (35th) best actor,     Gregory Peck,     To Kill a Mockingbird,     Atticus Finch,     True
1962,     (35th) best actor,     Burt Lancaster,     Birdman of Alcatraz,     Robert Franklin Stroud,     False
1962,     (35th) best actor,     Jack Lemmon,     Days of Wine and Roses,     Joe Clay,     False
1962,     (35th) best actor,     Marcello Mastroianni,     Divorce Italian Style,     Ferdinando Cefalù,     False
1962,     (35th) best actor,     Peter O'Toole,     Lawrence of Arabia,     T. E. Lawrence,     False
1986,     (59th) best actor,     Paul Newman,     The Color of Money,     Fast Eddie Felson,     True
1986,     (59th) best actor,     Dexter Gordon,     Round Midnight,     Dale Turner,     False
1986,     (59th) best actor,     Bob Hoskins,     Mona Lisa,     George,     False
1986,     (59th) best actor,     William Hurt,     Children of a Lesser God,     James Leeds,     False
1986,     (59th) best actor,     James Woods,     Salvador,     Richard Boyle,     False
1964,     (37th) best actor,     Rex Harrison,     My Fair Lady,     Professor Henry Higgins,     True
1964,     (37th) best actor,     Richard Burton,     Becket,     Thomas Becket,     False
1964,     (37th) best actor,     Peter O'Toole,     Becket,     King Henry II of England,     False
1964,     (37th) best actor,     Anthony Quinn,     Zorba the Greek,     Alexis Zorba,     False
1964,     (37th) best actor,     Peter Sellers,     Dr. Strangelove,     Group Captain Lionel Mandrake,     False
1954,     (27th) best actor,     Marlon Brando,     On the Waterfront,     Terry Malloy,     True
1954,     (27th) best actor,     Humphrey Bogart,     The Caine Mutiny,     Lt. Cmdr. Philip Francis Queeg,     False
